City,Date,Air Quality,Index Value,,,,,,,,,,,,,,,,,,,
Ludhiana,01-04-2018,Moderate,153,,,,,,,,,,,,,,,,,,,
Mumbai,01-04-2018,Poor,214,,,,,,,,,,,,,,,,,,,
Nagpur,01-04-2018,Moderate,134,,,,,,,,,,,,,,,,,,,
Noida,01-04-2018,Very Poor,387,,,,,,,,,,,,,,,,,,,
Patna,01-04-2018,Very Poor,389,,,,,,,,,,,,,,,,,,,
Pune,01-04-2018,Satisfactory,84,,,,,,,,,,,,,,,,,,,
Siliguri,01-04-2018,,,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,01-04-2018,Moderate,118,,,,,,,,,,,,,,,,,,,
Ujjain,01-04-2018,Moderate,186,,,,,,,,,,,,,,,,,,,
Varanasi,01-04-2018,Poor,264,,,,,,,,,,,,,,,,,,,
Visakhapatnam,01-04-2018,Poor,235,,,,,,,,,,,,,,,,,,,
Agra,01-05-2018,Very Poor,384,,,,,,,,,,,,,,,,,,,
Ahmedabad,01-05-2018,Moderate,190,,,,,,,,,,,,,,,,,,,
Ajmer,01-05-2018,Moderate,127,,,,,,,,,,,,,,,,,,,
Asansol,01-05-2018,,,,,,,,,,,,,,,,,,,,,
Bengaluru,01-05-2018,Moderate,123,,,,,,,,,,,,,,,,,,,
Chennai,01-05-2018,Moderate,153,,,,,,,,,,,,,,,,,,,
Delhi,01-05-2018,Very Poor,388,,,,,,,,,,,,,,,,,,,
Gurgaon,01-05-2018,Very Poor,354,,,,,,,,,,,,,,,,,,,
Hyderabad,01-05-2018,Moderate,161,,,,,,,,,,,,,,,,,,,
Jaipur,01-05-2018,Moderate,174,,,,,,,,,,,,,,,,,,,
Kanpur,01-05-2018,Severe,420,,,,,,,,,,,,,,,,,,,
Kolkata,01-05-2018,,,,,,,,,,,,,,,,,,,,,
Lucknow,01-05-2018,Very Poor,397,,,,,,,,,,,,,,,,,,,
Ludhiana,01-05-2018,Poor,269,,,,,,,,,,,,,,,,,,,
Mumbai,01-05-2018,Moderate,149,,,,,,,,,,,,,,,,,,,
Nagpur,01-05-2018,Poor,217,,,,,,,,,,,,,,,,,,,
Noida,01-05-2018,Very Poor,351,,,,,,,,,,,,,,,,,,,
Patna,01-05-2018,Very Poor,397,,,,,,,,,,,,,,,,,,,
Pune,01-05-2018,Satisfactory,97,,,,,,,,,,,,,,,,,,,
Siliguri,01-05-2018,,,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,01-05-2018,Moderate,148,,,,,,,,,,,,,,,,,,,
Ujjain,01-05-2018,Poor,292,,,,,,,,,,,,,,,,,,,
Varanasi,01-05-2018,Very Poor,307,,,,,,,,,,,,,,,,,,,
Visakhapatnam,01-05-2018,Poor,203,,,,,,,,,,,,,,,,,,,
Agra,01-06-2018,Very Poor,383,,,,,,,,,,,,,,,,,,,
Ahmedabad,01-06-2018,Moderate,139,,,,,,,,,,,,,,,,,,,
Ajmer,01-06-2018,Moderate,125,,,,,,,,,,,,,,,,,,,
Asansol,01-06-2018,,,,,,,,,,,,,,,,,,,,,
Bengaluru,01-06-2018,Moderate,106,,,,,,,,,,,,,,,,,,,
Chennai,01-06-2018,Moderate,166,,,,,,,,,,,,,,,,,,,
Delhi,01-06-2018,Severe,404,,,,,,,,,,,,,,,,,,,
Gurgaon,01-06-2018,Very Poor,355,,,,,,,,,,,,,,,,,,,
Hyderabad,01-06-2018,Moderate,168,,,,,,,,,,,,,,,,,,,
Jaipur,01-06-2018,Poor,215,,,,,,,,,,,,,,,,,,,
Kanpur,01-06-2018,Severe,403,,,,,,,,,,,,,,,,,,,
Kolkata,01-06-2018,,,,,,,,,,,,,,,,,,,,,
Lucknow,01-06-2018,Very Poor,316,,,,,,,,,,,,,,,,,,,
Ludhiana,01-06-2018,Moderate,200,,,,,,,,,,,,,,,,,,,
Mumbai,01-06-2018,Moderate,194,,,,,,,,,,,,,,,,,,,
Nagpur,01-06-2018,Moderate,163,,,,,,,,,,,,,,,,,,,
Noida,01-06-2018,Very Poor,395,,,,,,,,,,,,,,,,,,,
Patna,01-06-2018,Very Poor,391,,,,,,,,,,,,,,,,,,,
Pune,01-06-2018,Satisfactory,84,,,,,,,,,,,,,,,,,,,
Siliguri,01-06-2018,,,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,01-06-2018,Moderate,114,,,,,,,,,,,,,,,,,,,
Varanasi,01-06-2018,Poor,281,,,,,,,,,,,,,,,,,,,
Visakhapatnam,01-06-2018,Poor,219,,,,,,,,,,,,,,,,,,,
Agra,01-07-2018,Very Poor,394,,,,,,,,,,,,,,,,,,,
Ahmedabad,01-07-2018,Moderate,153,,,,,,,,,,,,,,,,,,,
Ajmer,01-07-2018,Moderate,130,,,,,,,,,,,,,,,,,,,
Asansol,01-07-2018,,,,,,,,,,,,,,,,,,,,,
Bengaluru,01-07-2018,Moderate,107,,,,,,,,,,,,,,,,,,,
Chennai,01-07-2018,Moderate,123,,,,,,,,,,,,,,,,,,,
Delhi,01-07-2018,Very Poor,354,,,,,,,,,,,,,,,,,,,
Gurgaon,01-07-2018,Very Poor,330,,,,,,,,,,,,,,,,,,,
Hyderabad,01-07-2018,Moderate,151,,,,,,,,,,,,,,,,,,,
Jaipur,01-07-2018,Moderate,168,,,,,,,,,,,,,,,,,,,
Kanpur,01-07-2018,Severe,429,,,,,,,,,,,,,,,,,,,
Kolkata,01-07-2018,,,,,,,,,,,,,,,,,,,,,
