City,Date,Air Quality,Index Value,,,,,,,,,,,,,,,,,,,
Kanpur,04-08-2018,Satisfactory,64,,,,,,,,,,,,,,,,,,,
Kolkata,04-08-2018,,,,,,,,,,,,,,,,,,,,,
Lucknow,04-08-2018,Moderate,105,,,,,,,,,,,,,,,,,,,
Ludhiana,04-08-2018,Moderate,116,,,,,,,,,,,,,,,,,,,
Mumbai,04-08-2018,Satisfactory,86,,,,,,,,,,,,,,,,,,,
Nagpur,04-08-2018,Satisfactory,94,,,,,,,,,,,,,,,,,,,
Noida,04-08-2018,Moderate,124,,,,,,,,,,,,,,,,,,,
Patna,04-08-2018,Poor,217,,,,,,,,,,,,,,,,,,,
Pune,04-08-2018,Moderate,124,,,,,,,,,,,,,,,,,,,
Siliguri,04-08-2018,Satisfactory,90,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,04-08-2018,Satisfactory,59,,,,,,,,,,,,,,,,,,,
Ujjain,04-08-2018,Moderate,154,,,,,,,,,,,,,,,,,,,
Varanasi,04-08-2018,Moderate,120,,,,,,,,,,,,,,,,,,,
Visakhapatnam,04-08-2018,,,,,,,,,,,,,,,,,,,,,
Agra,04-09-2018,Moderate,120,,,,,,,,,,,,,,,,,,,
Ahmedabad,04-09-2018,Poor,248,,,,,,,,,,,,,,,,,,,
Ajmer,04-09-2018,,,,,,,,,,,,,,,,,,,,,
Asansol,04-09-2018,Satisfactory,66,,,,,,,,,,,,,,,,,,,
Bengaluru,04-09-2018,Satisfactory,57,,,,,,,,,,,,,,,,,,,
Chennai,04-09-2018,Satisfactory,73,,,,,,,,,,,,,,,,,,,
Delhi,04-09-2018,Moderate,118,,,,,,,,,,,,,,,,,,,
Gurgaon,04-09-2018,Moderate,175,,,,,,,,,,,,,,,,,,,
Hyderabad,04-09-2018,Moderate,101,,,,,,,,,,,,,,,,,,,
Jaipur,04-09-2018,Moderate,114,,,,,,,,,,,,,,,,,,,
Kanpur,04-09-2018,Satisfactory,95,,,,,,,,,,,,,,,,,,,
Kolkata,04-09-2018,,,,,,,,,,,,,,,,,,,,,
Lucknow,04-09-2018,Moderate,180,,,,,,,,,,,,,,,,,,,
Ludhiana,04-09-2018,Moderate,102,,,,,,,,,,,,,,,,,,,
Mumbai,04-09-2018,Satisfactory,96,,,,,,,,,,,,,,,,,,,
Nagpur,04-09-2018,Satisfactory,84,,,,,,,,,,,,,,,,,,,
Noida,04-09-2018,Moderate,125,,,,,,,,,,,,,,,,,,,
Patna,04-09-2018,Moderate,187,,,,,,,,,,,,,,,,,,,
Pune,04-09-2018,Moderate,100,,,,,,,,,,,,,,,,,,,
Siliguri,04-09-2018,Satisfactory,75,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,04-09-2018,Satisfactory,72,,,,,,,,,,,,,,,,,,,
Ujjain,04-09-2018,Moderate,171,,,,,,,,,,,,,,,,,,,
Varanasi,04-09-2018,,,,,,,,,,,,,,,,,,,,,
Visakhapatnam,04-09-2018,Satisfactory,69,,,,,,,,,,,,,,,,,,,
Agra,04-10-2018,Moderate,100,,,,,,,,,,,,,,,,,,,
Ahmedabad,04-10-2018,Poor,271,,,,,,,,,,,,,,,,,,,
Ajmer,04-10-2018,Satisfactory,76,,,,,,,,,,,,,,,,,,,
Asansol,04-10-2018,Satisfactory,52,,,,,,,,,,,,,,,,,,,
Bengaluru,04-10-2018,Satisfactory,66,,,,,,,,,,,,,,,,,,,
Chennai,04-10-2018,Satisfactory,53,,,,,,,,,,,,,,,,,,,
Delhi,04-10-2018,Poor,230,,,,,,,,,,,,,,,,,,,
Gurgaon,04-10-2018,Poor,229,,,,,,,,,,,,,,,,,,,
Hyderabad,04-10-2018,Satisfactory,84,,,,,,,,,,,,,,,,,,,
Jaipur,04-10-2018,Moderate,119,,,,,,,,,,,,,,,,,,,
Kanpur,04-10-2018,Satisfactory,71,,,,,,,,,,,,,,,,,,,
Kolkata,04-10-2018,,,,,,,,,,,,,,,,,,,,,
Lucknow,04-10-2018,Satisfactory,96,,,,,,,,,,,,,,,,,,,
Ludhiana,04-10-2018,Moderate,102,,,,,,,,,,,,,,,,,,,
Mumbai,04-10-2018,Satisfactory,95,,,,,,,,,,,,,,,,,,,
Nagpur,04-10-2018,Satisfactory,74,,,,,,,,,,,,,,,,,,,
Noida,04-10-2018,Moderate,191,,,,,,,,,,,,,,,,,,,
Patna,04-10-2018,Poor,234,,,,,,,,,,,,,,,,,,,
Pune,04-10-2018,Moderate,110,,,,,,,,,,,,,,,,,,,
Siliguri,04-10-2018,Moderate,107,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,04-10-2018,Satisfactory,54,,,,,,,,,,,,,,,,,,,
Ujjain,04-10-2018,Moderate,197,,,,,,,,,,,,,,,,,,,
Varanasi,04-10-2018,Moderate,167,,,,,,,,,,,,,,,,,,,
Visakhapatnam,04-10-2018,,,,,,,,,,,,,,,,,,,,,
Agra,04-11-2018,Moderate,110,,,,,,,,,,,,,,,,,,,
Ahmedabad,04-11-2018,Poor,213,,,,,,,,,,,,,,,,,,,
Ajmer,04-11-2018,Satisfactory,89,,,,,,,,,,,,,,,,,,,
Asansol,04-11-2018,Satisfactory,82,,,,,,,,,,,,,,,,,,,
Bengaluru,04-11-2018,Satisfactory,81,,,,,,,,,,,,,,,,,,,
Chennai,04-11-2018,Satisfactory,71,,,,,,,,,,,,,,,,,,,
Delhi,04-11-2018,Moderate,141,,,,,,,,,,,,,,,,,,,
Gurgaon,04-11-2018,Moderate,182,,,,,,,,,,,,,,,,,,,
Hyderabad,04-11-2018,Satisfactory,70,,,,,,,,,,,,,,,,,,,
Jaipur,04-11-2018,Moderate,105,,,,,,,,,,,,,,,,,,,
Kanpur,04-11-2018,Satisfactory,95,,,,,,,,,,,,,,,,,,,
Kolkata,04-11-2018,,,,,,,,,,,,,,,,,,,,,
Lucknow,04-11-2018,Moderate,128,,,,,,,,,,,,,,,,,,,
Ludhiana,04-11-2018,Moderate,101,,,,,,,,,,,,,,,,,,,
Mumbai,04-11-2018,Satisfactory,89,,,,,,,,,,,,,,,,,,,
Nagpur,04-11-2018,Satisfactory,66,,,,,,,,,,,,,,,,,,,
Noida,04-11-2018,Moderate,144,,,,,,,,,,,,,,,,,,,
Patna,04-11-2018,Moderate,162,,,,,,,,,,,,,,,,,,,
Pune,04-11-2018,Moderate,109,,,,,,,,,,,,,,,,,,,
Siliguri,04-11-2018,Satisfactory,68,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,04-11-2018,Satisfactory,57,,,,,,,,,,,,,,,,,,,
Ujjain,04-11-2018,Moderate,184,,,,,,,,,,,,,,,,,,,
Varanasi,04-11-2018,Moderate,162,,,,,,,,,,,,,,,,,,,
Visakhapatnam,04-11-2018,Satisfactory,77,,,,,,,,,,,,,,,,,,,
Agra,04-12-2018,,,,,,,,,,,,,,,,,,,,,
Ahmedabad,04-12-2018,Moderate,186,,,,,,,,,,,,,,,,,,,
Asansol,04-12-2018,Satisfactory,81,,,,,,,,,,,,,,,,,,,
Bengaluru,04-12-2018,Satisfactory,90,,,,,,,,,,,,,,,,,,,
Chennai,04-12-2018,Satisfactory,64,,,,,,,,,,,,,,,,,,,
Delhi,04-12-2018,Satisfactory,99,,,,,,,,,,,,,,,,,,,
Gurgaon,04-12-2018,Satisfactory,65,,,,,,,,,,,,,,,,,,,
Hyderabad,04-12-2018,Satisfactory,72,,,,,,,,,,,,,,,,,,,
Jaipur,04-12-2018,Satisfactory,82,,,,,,,,,,,,,,,,,,,
Kanpur,04-12-2018,Satisfactory,78,,,,,,,,,,,,,,,,,,,
Kolkata,04-12-2018,,,,,,,,,,,,,,,,,,,,,
Lucknow,04-12-2018,Satisfactory,97,,,,,,,,,,,,,,,,,,,
Ludhiana,04-12-2018,Satisfactory,98,,,,,,,,,,,,,,,,,,,
Mumbai,04-12-2018,Satisfactory,90,,,,,,,,,,,,,,,,,,,
Nagpur,04-12-2018,Satisfactory,75,,,,,,,,,,,,,,,,,,,
Noida,04-12-2018,Moderate,100,,,,,,,,,,,,,,,,,,,
Patna,04-12-2018,Moderate,197,,,,,,,,,,,,,,,,,,,
Pune,04-12-2018,Moderate,103,,,,,,,,,,,,,,,,,,,
Siliguri,04-12-2018,Satisfactory,65,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,04-12-2018,Satisfactory,50,,,,,,,,,,,,,,,,,,,
Ujjain,04-12-2018,Moderate,153,,,,,,,,,,,,,,,,,,,
Varanasi,04-12-2018,Moderate,138,,,,,,,,,,,,,,,,,,,
Visakhapatnam,04-12-2018,Satisfactory,53,,,,,,,,,,,,,,,,,,,
Agra,04-13-2018,,,,,,,,,,,,,,,,,,,,,
Ahmedabad,04-13-2018,Very Poor,346,,,,,,,,,,,,,,,,,,,
Ajmer,04-13-2018,Satisfactory,80,,,,,,,,,,,,,,,,,,,
Asansol,04-13-2018,Satisfactory,76,,,,,,,,,,,,,,,,,,,
Bengaluru,04-13-2018,Satisfactory,71,,,,,,,,,,,,,,,,,,,
Chennai,04-13-2018,Satisfactory,58,,,,,,,,,,,,,,,,,,,
Delhi,04-13-2018,Moderate,186,,,,,,,,,,,,,,,,,,,
Gurgaon,04-13-2018,Satisfactory,76,,,,,,,,,,,,,,,,,,,
Hyderabad,04-13-2018,Satisfactory,66,,,,,,,,,,,,,,,,,,,
Jaipur,04-13-2018,Satisfactory,92,,,,,,,,,,,,,,,,,,,
Kanpur,04-13-2018,Moderate,106,,,,,,,,,,,,,,,,,,,
Kolkata,04-13-2018,Satisfactory,65,,,,,,,,,,,,,,,,,,,
Lucknow,04-13-2018,Moderate,105,,,,,,,,,,,,,,,,,,,
Ludhiana,04-13-2018,Satisfactory,57,,,,,,,,,,,,,,,,,,,
Mumbai,04-13-2018,Satisfactory,88,,,,,,,,,,,,,,,,,,,
Nagpur,04-13-2018,Satisfactory,82,,,,,,,,,,,,,,,,,,,
Noida,04-13-2018,Moderate,170,,,,,,,,,,,,,,,,,,,
Patna,04-13-2018,Poor,205,,,,,,,,,,,,,,,,,,,
Pune,04-13-2018,Moderate,113,,,,,,,,,,,,,,,,,,,
Siliguri,04-13-2018,Satisfactory,72,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,04-13-2018,Satisfactory,76,,,,,,,,,,,,,,,,,,,
Ujjain,04-13-2018,Moderate,154,,,,,,,,,,,,,,,,,,,
Varanasi,04-13-2018,,,,,,,,,,,,,,,,,,,,,
Visakhapatnam,04-13-2018,Satisfactory,81,,,,,,,,,,,,,,,,,,,
Agra,04-14-2018,Moderate,197,,,,,,,,,,,,,,,,,,,
Ahmedabad,04-14-2018,Moderate,170,,,,,,,,,,,,,,,,,,,
Ajmer,04-14-2018,Satisfactory,88,,,,,,,,,,,,,,,,,,,
Asansol,04-14-2018,Moderate,118,,,,,,,,,,,,,,,,,,,
Bengaluru,04-14-2018,Satisfactory,74,,,,,,,,,,,,,,,,,,,
Chennai,04-14-2018,Satisfactory,57,,,,,,,,,,,,,,,,,,,
Delhi,04-14-2018,Poor,217,,,,,,,,,,,,,,,,,,,
Gurgaon,04-14-2018,Very Poor,348,,,,,,,,,,,,,,,,,,,
Hyderabad,04-14-2018,Satisfactory,68,,,,,,,,,,,,,,,,,,,
Jaipur,04-14-2018,Moderate,121,,,,,,,,,,,,,,,,,,,
Kanpur,04-14-2018,Satisfactory,85,,,,,,,,,,,,,,,,,,,
Kolkata,04-14-2018,Satisfactory,69,,,,,,,,,,,,,,,,,,,
Lucknow,04-14-2018,Moderate,132,,,,,,,,,,,,,,,,,,,
Ludhiana,04-14-2018,Satisfactory,76,,,,,,,,,,,,,,,,,,,
Mumbai,04-14-2018,Satisfactory,83,,,,,,,,,,,,,,,,,,,
Nagpur,04-14-2018,Satisfactory,63,,,,,,,,,,,,,,,,,,,
Noida,04-14-2018,Poor,220,,,,,,,,,,,,,,,,,,,
Patna,04-14-2018,Moderate,191,,,,,,,,,,,,,,,,,,,
Pune,04-14-2018,Satisfactory,96,,,,,,,,,,,,,,,,,,,
Siliguri,04-14-2018,Satisfactory,81,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,04-14-2018,Good,45,,,,,,,,,,,,,,,,,,,
Ujjain,04-14-2018,Moderate,156,,,,,,,,,,,,,,,,,,,
Varanasi,04-14-2018,,,,,,,,,,,,,,,,,,,,,
Visakhapatnam,04-14-2018,Good,39,,,,,,,,,,,,,,,,,,,
Agra,04-15-2018,Moderate,192,,,,,,,,,,,,,,,,,,,
Ahmedabad,04-15-2018,Moderate,195,,,,,,,,,,,,,,,,,,,
Ajmer,04-15-2018,Satisfactory,97,,,,,,,,,,,,,,,,,,,
Asansol,04-15-2018,Moderate,151,,,,,,,,,,,,,,,,,,,
Bengaluru,04-15-2018,Satisfactory,97,,,,,,,,,,,,,,,,,,,
Chennai,04-15-2018,Good,42,,,,,,,,,,,,,,,,,,,
Delhi,04-15-2018,Poor,224,,,,,,,,,,,,,,,,,,,
Gurgaon,04-15-2018,Poor,232,,,,,,,,,,,,,,,,,,,
Hyderabad,04-15-2018,Satisfactory,60,,,,,,,,,,,,,,,,,,,
Jaipur,04-15-2018,Moderate,117,,,,,,,,,,,,,,,,,,,
Kanpur,04-15-2018,Moderate,147,,,,,,,,,,,,,,,,,,,
Kolkata,04-15-2018,Satisfactory,91,,,,,,,,,,,,,,,,,,,
Lucknow,04-15-2018,Moderate,152,,,,,,,,,,,,,,,,,,,
Ludhiana,04-15-2018,Moderate,101,,,,,,,,,,,,,,,,,,,
Mumbai,04-15-2018,Satisfactory,82,,,,,,,,,,,,,,,,,,,
Nagpur,04-15-2018,Satisfactory,60,,,,,,,,,,,,,,,,,,,
Noida,04-15-2018,Poor,230,,,,,,,,,,,,,,,,,,,
Patna,04-15-2018,,,,,,,,,,,,,,,,,,,,,
Pune,04-15-2018,Satisfactory,98,,,,,,,,,,,,,,,,,,,
Siliguri,04-15-2018,Satisfactory,82,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,04-15-2018,Good,45,,,,,,,,,,,,,,,,,,,
Ujjain,04-15-2018,Moderate,141,,,,,,,,,,,,,,,,,,,
Varanasi,04-15-2018,,,,,,,,,,,,,,,,,,,,,
Visakhapatnam,04-15-2018,Satisfactory,67,,,,,,,,,,,,,,,,,,,
Agra,04-16-2018,Poor,206,,,,,,,,,,,,,,,,,,,
Ahmedabad,04-16-2018,Moderate,164,,,,,,,,,,,,,,,,,,,
Ajmer,04-16-2018,Moderate,139,,,,,,,,,,,,,,,,,,,
Asansol,04-16-2018,Moderate,177,,,,,,,,,,,,,,,,,,,
Bengaluru,04-16-2018,Good,49,,,,,,,,,,,,,,,,,,,
Chennai,04-16-2018,Satisfactory,52,,,,,,,,,,,,,,,,,,,
Delhi,04-16-2018,Poor,285,,,,,,,,,,,,,,,,,,,
Gurgaon,04-16-2018,Poor,279,,,,,,,,,,,,,,,,,,,
Hyderabad,04-16-2018,Moderate,100,,,,,,,,,,,,,,,,,,,
Jaipur,04-16-2018,Moderate,142,,,,,,,,,,,,,,,,,,,
Kanpur,04-16-2018,Moderate,127,,,,,,,,,,,,,,,,,,,
Kolkata,04-16-2018,Satisfactory,76,,,,,,,,,,,,,,,,,,,
Lucknow,04-16-2018,Moderate,188,,,,,,,,,,,,,,,,,,,
Ludhiana,04-16-2018,Moderate,132,,,,,,,,,,,,,,,,,,,
Mumbai,04-16-2018,Satisfactory,85,,,,,,,,,,,,,,,,,,,
Nagpur,04-16-2018,Satisfactory,65,,,,,,,,,,,,,,,,,,,
Noida,04-16-2018,Very Poor,321,,,,,,,,,,,,,,,,,,,
Patna,04-16-2018,Poor,212,,,,,,,,,,,,,,,,,,,
Pune,04-16-2018,Satisfactory,91,,,,,,,,,,,,,,,,,,,
Siliguri,04-16-2018,Satisfactory,68,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,04-16-2018,Good,49,,,,,,,,,,,,,,,,,,,
Ujjain,04-16-2018,Moderate,132,,,,,,,,,,,,,,,,,,,
Varanasi,04-16-2018,,,,,,,,,,,,,,,,,,,,,
Visakhapatnam,04-16-2018,Satisfactory,53,,,,,,,,,,,,,,,,,,,
Agra,04-17-2018,Satisfactory,82,,,,,,,,,,,,,,,,,,,
Ahmedabad,04-17-2018,Satisfactory,88,,,,,,,,,,,,,,,,,,,
Ajmer,04-17-2018,Moderate,110,,,,,,,,,,,,,,,,,,,
Asansol,04-17-2018,Moderate,166,,,,,,,,,,,,,,,,,,,
Bengaluru,04-17-2018,Satisfactory,69,,,,,,,,,,,,,,,,,,,
Chennai,04-17-2018,Satisfactory,58,,,,,,,,,,,,,,,,,,,
Delhi,04-17-2018,Poor,244,,,,,,,,,,,,,,,,,,,
Gurgaon,04-17-2018,Poor,285,,,,,,,,,,,,,,,,,,,
Hyderabad,04-17-2018,Satisfactory,87,,,,,,,,,,,,,,,,,,,
Jaipur,04-17-2018,Moderate,152,,,,,,,,,,,,,,,,,,,
Kanpur,04-17-2018,Moderate,147,,,,,,,,,,,,,,,,,,,
Kolkata,04-17-2018,Satisfactory,56,,,,,,,,,,,,,,,,,,,
Lucknow,04-17-2018,Poor,262,,,,,,,,,,,,,,,,,,,
Ludhiana,04-17-2018,Satisfactory,92,,,,,,,,,,,,,,,,,,,
Mumbai,04-17-2018,Satisfactory,92,,,,,,,,,,,,,,,,,,,
Nagpur,04-17-2018,Moderate,111,,,,,,,,,,,,,,,,,,,
Noida,04-17-2018,Poor,254,,,,,,,,,,,,,,,,,,,
Patna,04-17-2018,,,,,,,,,,,,,,,,,,,,,
Pune,04-17-2018,Moderate,111,,,,,,,,,,,,,,,,,,,
Siliguri,04-17-2018,Satisfactory,85,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,04-17-2018,Satisfactory,57,,,,,,,,,,,,,,,,,,,
Ujjain,04-17-2018,Moderate,120,,,,,,,,,,,,,,,,,,,
Varanasi,04-17-2018,,,,,,,,,,,,,,,,,,,,,
Visakhapatnam,04-17-2018,Satisfactory,74,,,,,,,,,,,,,,,,,,,
Agra,04-18-2018,Moderate,172,,,,,,,,,,,,,,,,,,,
Ahmedabad,04-18-2018,Moderate,109,,,,,,,,,,,,,,,,,,,
Ajmer,04-18-2018,Satisfactory,98,,,,,,,,,,,,,,,,,,,
Asansol,04-18-2018,Satisfactory,97,,,,,,,,,,,,,,,,,,,
Bengaluru,04-18-2018,Satisfactory,89,,,,,,,,,,,,,,,,,,,
Chennai,04-18-2018,Satisfactory,54,,,,,,,,,,,,,,,,,,,
Delhi,04-18-2018,Poor,228,,,,,,,,,,,,,,,,,,,
Gurgaon,04-18-2018,Very Poor,312,,,,,,,,,,,,,,,,,,,
Hyderabad,04-18-2018,Satisfactory,84,,,,,,,,,,,,,,,,,,,
Jaipur,04-18-2018,Moderate,142,,,,,,,,,,,,,,,,,,,
Kanpur,04-18-2018,Satisfactory,91,,,,,,,,,,,,,,,,,,,
Kolkata,04-18-2018,Satisfactory,56,,,,,,,,,,,,,,,,,,,
Lucknow,04-18-2018,Poor,239,,,,,,,,,,,,,,,,,,,
Ludhiana,04-18-2018,Satisfactory,81,,,,,,,,,,,,,,,,,,,
Mumbai,04-18-2018,Moderate,103,,,,,,,,,,,,,,,,,,,
Nagpur,04-18-2018,Satisfactory,94,,,,,,,,,,,,,,,,,,,
Noida,04-18-2018,Poor,216,,,,,,,,,,,,,,,,,,,
Patna,04-18-2018,Poor,210,,,,,,,,,,,,,,,,,,,
Pune,04-18-2018,Moderate,106,,,,,,,,,,,,,,,,,,,
Siliguri,04-18-2018,Satisfactory,66,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,04-18-2018,Satisfactory,65,,,,,,,,,,,,,,,,,,,
Ujjain,04-18-2018,Moderate,156,,,,,,,,,,,,,,,,,,,
Varanasi,04-18-2018,,,,,,,,,,,,,,,,,,,,,
Visakhapatnam,04-18-2018,Satisfactory,72,,,,,,,,,,,,,,,,,,,
Agra,04-19-2018,Moderate,136,,,,,,,,,,,,,,,,,,,
Ahmedabad,04-19-2018,Moderate,101,,,,,,,,,,,,,,,,,,,
Ajmer,04-19-2018,Moderate,115,,,,,,,,,,,,,,,,,,,
Asansol,04-19-2018,Satisfactory,94,,,,,,,,,,,,,,,,,,,
Bengaluru,04-19-2018,Moderate,103,,,,,,,,,,,,,,,,,,,
Chennai,04-19-2018,Satisfactory,72,,,,,,,,,,,,,,,,,,,
Delhi,04-19-2018,Poor,244,,,,,,,,,,,,,,,,,,,
Gurgaon,04-19-2018,Very Poor,304,,,,,,,,,,,,,,,,,,,
Hyderabad,04-19-2018,Moderate,107,,,,,,,,,,,,,,,,,,,
Jaipur,04-19-2018,Moderate,148,,,,,,,,,,,,,,,,,,,
Kanpur,04-19-2018,Moderate,105,,,,,,,,,,,,,,,,,,,
Kolkata,04-19-2018,Satisfactory,60,,,,,,,,,,,,,,,,,,,
Lucknow,04-19-2018,Poor,204,,,,,,,,,,,,,,,,,,,
Ludhiana,04-19-2018,Moderate,116,,,,,,,,,,,,,,,,,,,
Mumbai,04-19-2018,Satisfactory,91,,,,,,,,,,,,,,,,,,,
Nagpur,04-19-2018,Satisfactory,86,,,,,,,,,,,,,,,,,,,
Noida,04-19-2018,Poor,252,,,,,,,,,,,,,,,,,,,
Patna,04-19-2018,Poor,234,,,,,,,,,,,,,,,,,,,
Pune,04-19-2018,Moderate,110,,,,,,,,,,,,,,,,,,,
Siliguri,04-19-2018,,,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,04-19-2018,Satisfactory,53,,,,,,,,,,,,,,,,,,,
Ujjain,04-19-2018,Moderate,151,,,,,,,,,,,,,,,,,,,
Varanasi,04-19-2018,,,,,,,,,,,,,,,,,,,,,
Visakhapatnam,04-19-2018,Satisfactory,65,,,,,,,,,,,,,,,,,,,
Agra,04-20-2018,Moderate,169,,,,,,,,,,,,,,,,,,,
Ahmedabad,04-20-2018,Moderate,140,,,,,,,,,,,,,,,,,,,
Ajmer,04-20-2018,Moderate,121,,,,,,,,,,,,,,,,,,,
Asansol,04-20-2018,Moderate,146,,,,,,,,,,,,,,,,,,,
Bengaluru,04-20-2018,Moderate,100,,,,,,,,,,,,,,,,,,,
Chennai,04-20-2018,Satisfactory,58,,,,,,,,,,,,,,,,,,,
Delhi,04-20-2018,Poor,246,,,,,,,,,,,,,,,,,,,
Gurgaon,04-20-2018,Very Poor,355,,,,,,,,,,,,,,,,,,,
Hyderabad,04-20-2018,Moderate,113,,,,,,,,,,,,,,,,,,,
Jaipur,04-20-2018,Poor,207,,,,,,,,,,,,,,,,,,,
Kanpur,04-20-2018,Moderate,193,,,,,,,,,,,,,,,,,,,
Kolkata,04-20-2018,Satisfactory,57,,,,,,,,,,,,,,,,,,,
Lucknow,04-20-2018,Poor,276,,,,,,,,,,,,,,,,,,,
Ludhiana,04-20-2018,Moderate,180,,,,,,,,,,,,,,,,,,,
Mumbai,04-20-2018,,,,,,,,,,,,,,,,,,,,,
Nagpur,04-20-2018,Satisfactory,75,,,,,,,,,,,,,,,,,,,
Noida,04-20-2018,Poor,262,,,,,,,,,,,,,,,,,,,
Patna,04-20-2018,Poor,214,,,,,,,,,,,,,,,,,,,
Pune,04-20-2018,Satisfactory,95,,,,,,,,,,,,,,,,,,,
Siliguri,04-20-2018,,,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,04-20-2018,Satisfactory,55,,,,,,,,,,,,,,,,,,,
Ujjain,04-20-2018,Moderate,140,,,,,,,,,,,,,,,,,,,
Varanasi,04-20-2018,,,,,,,,,,,,,,,,,,,,,
Visakhapatnam,04-20-2018,Satisfactory,66,,,,,,,,,,,,,,,,,,,
Agra,04-21-2018,Poor,245,,,,,,,,,,,,,,,,,,,
Ahmedabad,04-21-2018,Satisfactory,90,,,,,,,,,,,,,,,,,,,
Ajmer,04-21-2018,,,,,,,,,,,,,,,,,,,,,
Asansol,04-21-2018,Satisfactory,82,,,,,,,,,,,,,,,,,,,
Bengaluru,04-21-2018,Satisfactory,81,,,,,,,,,,,,,,,,,,,
Chennai,04-21-2018,Satisfactory,70,,,,,,,,,,,,,,,,,,,
Delhi,04-21-2018,Very Poor,356,,,,,,,,,,,,,,,,,,,
Gurgaon,04-21-2018,Very Poor,380,,,,,,,,,,,,,,,,,,,
Hyderabad,04-21-2018,Moderate,121,,,,,,,,,,,,,,,,,,,
Jaipur,04-21-2018,Very Poor,343,,,,,,,,,,,,,,,,,,,
Kanpur,04-21-2018,Satisfactory,78,,,,,,,,,,,,,,,,,,,
Kolkata,04-21-2018,Satisfactory,60,,,,,,,,,,,,,,,,,,,
Lucknow,04-21-2018,Moderate,191,,,,,,,,,,,,,,,,,,,
Ludhiana,04-21-2018,Moderate,101,,,,,,,,,,,,,,,,,,,
Mumbai,04-21-2018,,,,,,,,,,,,,,,,,,,,,
Nagpur,04-21-2018,Good,47,,,,,,,,,,,,,,,,,,,
Noida,04-21-2018,Severe,434,,,,,,,,,,,,,,,,,,,
Patna,04-21-2018,Poor,254,,,,,,,,,,,,,,,,,,,
Pune,04-21-2018,Satisfactory,78,,,,,,,,,,,,,,,,,,,
Siliguri,04-21-2018,,,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,04-21-2018,Satisfactory,56,,,,,,,,,,,,,,,,,,,
Ujjain,04-21-2018,Moderate,132,,,,,,,,,,,,,,,,,,,
Varanasi,04-21-2018,,,,,,,,,,,,,,,,,,,,,
Visakhapatnam,04-21-2018,Satisfactory,81,,,,,,,,,,,,,,,,,,,
Agra,04-22-2018,Moderate,140,,,,,,,,,,,,,,,,,,,
Ahmedabad,04-22-2018,Moderate,139,,,,,,,,,,,,,,,,,,,
Ajmer,04-22-2018,Good,45,,,,,,,,,,,,,,,,,,,
Asansol,04-22-2018,Moderate,106,,,,,,,,,,,,,,,,,,,
Bengaluru,04-22-2018,Satisfactory,94,,,,,,,,,,,,,,,,,,,
Chennai,04-22-2018,Satisfactory,52,,,,,,,,,,,,,,,,,,,
Delhi,04-22-2018,Poor,211,,,,,,,,,,,,,,,,,,,
Gurgaon,04-22-2018,Very Poor,314,,,,,,,,,,,,,,,,,,,
Hyderabad,04-22-2018,Moderate,114,,,,,,,,,,,,,,,,,,,
Jaipur,04-22-2018,Moderate,121,,,,,,,,,,,,,,,,,,,
Kanpur,04-22-2018,Satisfactory,79,,,,,,,,,,,,,,,,,,,
Kolkata,04-22-2018,Satisfactory,52,,,,,,,,,,,,,,,,,,,
Lucknow,04-22-2018,Poor,233,,,,,,,,,,,,,,,,,,,
Ludhiana,04-22-2018,Satisfactory,83,,,,,,,,,,,,,,,,,,,
Mumbai,04-22-2018,,,,,,,,,,,,,,,,,,,,,
Nagpur,04-22-2018,Satisfactory,77,,,,,,,,,,,,,,,,,,,
Noida,04-22-2018,Poor,246,,,,,,,,,,,,,,,,,,,
Patna,04-22-2018,Poor,218,,,,,,,,,,,,,,,,,,,
Pune,04-22-2018,Moderate,102,,,,,,,,,,,,,,,,,,,
Siliguri,04-22-2018,,,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,04-22-2018,Satisfactory,55,,,,,,,,,,,,,,,,,,,
Ujjain,04-22-2018,Moderate,165,,,,,,,,,,,,,,,,,,,
Varanasi,04-22-2018,,,,,,,,,,,,,,,,,,,,,
Visakhapatnam,04-22-2018,Satisfactory,73,,,,,,,,,,,,,,,,,,,
Agra,04-23-2018,Satisfactory,91,,,,,,,,,,,,,,,,,,,
Ahmedabad,04-23-2018,Moderate,124,,,,,,,,,,,,,,,,,,,
Ajmer,04-23-2018,Satisfactory,55,,,,,,,,,,,,,,,,,,,
Asansol,04-23-2018,Moderate,154,,,,,,,,,,,,,,,,,,,
Bengaluru,04-23-2018,Satisfactory,74,,,,,,,,,,,,,,,,,,,
